GameRuleName,GameRuleValue1,GameRuleValue2,GameRuleValue3
JokerTurnIntos,"1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0",,
LimitTai,999999,,
CanEat,FALSE,,
CanPong,TRUE,,
CanKong,TRUE,,
ChangeTileSameColor,FALSE,,
ChangeTileCount,3,,
KongAfterHuUseSimpleRule,TRUE,,
Debug,FALSE,,
CanUseJokerAsEye,TRUE,,
CanJokersingleGon,TRUE,,
CanJokerGon,TRUE,,
CanMing,TRUE,,
LogAICsv,TRUE,,
JokerNumbers,8,,
GameMode,2,,
CanCrit,TRUE,,
LogAIParameter,TRUE,,
GuoShouHu,FALSE,,
CanTing,FALSE,,
SpecialMode,FALSE,,
TileUpperLimit,13,,
AvailableTiles,"4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0",,
FanCount,"0,0,0,0,88,0,0,32,4,2,88,6,24,96,384,48,0,6,0,0,0,0,24,24,24,0,0,0,2,0,0,0,0,0,0,0,0,0,16,6,2,0,0,0,0,0,0,0,2,0,0,24,12,0,12,2,0,0,0,16,24,12,0,16,8,4,2,0,16,8,4,2,2,4,8,16,32,64,128,256,32,1024,8,8,6,0,88,0,2,2,2,4,2,4,8,16,12,8,2,0,0,2,0,8,8,64,99,99,8,8,4,0,0,2,2,0,0,48,24,0,0,0,0,0,0,4,6,0,16,12,8,4,4,3,2,2,6,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0",,
